age,marital,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,y,duration_mins,education_level,job_type,income_level
39,married,yes,no,telephone,may,wed,3,0,nonexistent,no,5,low,white-collar,mid
35,single,yes,no,cellular,apr,fri,2,0,nonexistent,yes,17,high,white-collar,high
29,married,yes,yes,cellular,may,thu,5,0,nonexistent,no,0,low,blue-collar,low
43,single,yes,no,telephone,may,tue,1,0,nonexistent,no,1,high,white-collar,high
31,divorced,no,yes,cellular,jul,fri,2,0,nonexistent,no,3,mid,white-collar,high
22,single,no,no,cellular,nov,mon,3,0,nonexistent,yes,2,mid,out-of-workforce,low
39,married,yes,no,cellular,may,tue,4,1,success,no,8,mid,blue-collar,mid
46,married,yes,no,cellular,nov,thu,1,0,nonexistent,no,13,mid,white-collar,high
59,married,no,no,cellular,nov,thu,1,0,nonexistent,no,1,mid,out-of-workforce,low
29,single,yes,no,cellular,nov,fri,7,0,nonexistent,no,3,high,white-collar,high
66,married,no,yes,cellular,jun,wed,2,0,nonexistent,yes,5,low,out-of-workforce,low
39,single,yes,no,telephone,jul,fri,2,0,nonexistent,no,2,low,blue-collar,low
45,married,no,no,telephone,jun,wed,3,0,nonexistent,no,7,low,blue-collar,low
32,married,yes,no,cellular,aug,tue,1,0,nonexistent,no,6,high,white-collar,high
30,married,no,yes,telephone,jun,mon,1,0,nonexistent,no,3,mid,blue-collar,mid
37,married,no,no,telephone,may,wed,1,0,nonexistent,no,3,low,blue-collar,low
39,divorced,no,no,telephone,may,wed,3,0,nonexistent,no,4,mid,blue-collar,mid
32,single,yes,no,cellular,may,thu,3,0,nonexistent,no,2,high,white-collar,high
36,married,yes,no,telephone,jun,mon,1,0,nonexistent,no,9,high,white-collar,mid
49,single,yes,no,cellular,may,mon,3,0,nonexistent,no,7,mid,blue-collar,low
45,married,yes,no,telephone,may,mon,1,0,nonexistent,no,13,mid,blue-collar,mid
57,married,yes,no,cellular,aug,wed,2,0,nonexistent,no,6,high,blue-collar,low
48,married,yes,yes,cellular,nov,tue,1,1,failure,no,2,high,white-collar,high
58,married,yes,no,cellular,aug,tue,2,0,nonexistent,no,2,high,out-of-workforce,low
43,married,yes,no,cellular,jun,mon,1,0,nonexistent,no,3,mid,white-collar,high
34,married,yes,yes,telephone,may,mon,3,0,nonexistent,no,1,high,white-collar,high
56,married,yes,yes,cellular,jul,fri,1,0,nonexistent,no,6,high,white-collar,high
37,married,yes,yes,cellular,jun,mon,2,0,nonexistent,yes,7,high,white-collar,high
33,married,yes,no,telephone,may,fri,3,0,nonexistent,no,1,mid,blue-collar,mid
24,single,yes,no,cellular,may,mon,3,0,nonexistent,no,3,mid,blue-collar,mid
45,married,yes,no,telephone,jun,mon,8,0,nonexistent,no,2,low,blue-collar,low
27,single,yes,yes,cellular,jul,thu,2,0,nonexistent,yes,9,high,out-of-workforce,low
31,married,no,no,telephone,may,tue,3,0,nonexistent,no,5,mid,blue-collar,mid
35,married,no,no,telephone,jun,fri,2,0,nonexistent,no,8,high,white-collar,high
37,single,no,no,telephone,jun,thu,5,0,nonexistent,no,11,mid,blue-collar,mid
64,married,yes,no,cellular,aug,wed,1,2,success,yes,2,low,out-of-workforce,low
55,married,no,yes,cellular,jul,tue,7,0,nonexistent,no,2,low,white-collar,high
37,married,yes,no,cellular,oct,thu,3,3,success,yes,6,high,white-collar,high
47,married,no,no,cellular,aug,mon,2,0,nonexistent,no,1,low,blue-collar,low
49,married,no,no,cellular,may,wed,4,0,nonexistent,no,2,low,blue-collar,low
43,divorced,yes,no,cellular,may,mon,1,1,failure,no,1,low,white-collar,high
28,single,yes,no,cellular,may,mon,1,0,nonexistent,no,6,mid,blue-collar,low
44,married,no,no,cellular,apr,wed,4,1,failure,no,4,low,white-collar,high
49,divorced,no,no,telephone,may,mon,1,0,nonexistent,no,7,mid,blue-collar,low
53,divorced,yes,no,telephone,jun,wed,1,0,nonexistent,no,2,high,white-collar,high
33,married,no,no,telephone,may,mon,2,0,nonexistent,no,10,mid,blue-collar,mid
37,married,no,no,telephone,may,thu,3,0,nonexistent,no,1,high,out-of-workforce,low
34,married,yes,no,telephone,may,wed,1,0,nonexistent,no,9,mid,blue-collar,low
48,married,no,no,cellular,nov,fri,7,1,failure,no,1,high,white-collar,high
42,married,yes,no,telephone,may,fri,1,0,nonexistent,no,5,high,blue-collar,mid
33,married,no,no,cellular,may,wed,4,1,failure,no,2,mid,white-collar,high
42,single,yes,no,telephone,may,fri,15,0,nonexistent,no,0,high,white-collar,high
39,married,yes,no,cellular,apr,mon,1,0,nonexistent,no,1,high,white-collar,high
26,single,no,no,telephone,may,wed,2,0,nonexistent,no,12,low,blue-collar,low
52,divorced,no,no,cellular,jul,tue,1,0,nonexistent,no,3,high,white-collar,high
44,divorced,yes,no,cellular,may,tue,1,0,nonexistent,no,3,high,white-collar,high
51,married,no,yes,cellular,aug,thu,5,0,nonexistent,no,0,mid,blue-collar,low
45,married,yes,no,cellular,jul,thu,2,2,success,yes,2,high,white-collar,high
28,single,no,no,cellular,jul,fri,9,0,nonexistent,yes,23,low,blue-collar,low
47,married,yes,yes,cellular,aug,fri,3,0,nonexistent,no,1,mid,blue-collar,mid
49,married,yes,no,telephone,jun,mon,2,0,nonexistent,no,4,low,blue-collar,low
53,married,no,yes,telephone,jun,tue,8,0,nonexistent,no,11,low,blue-collar,low
38,single,yes,no,telephone,may,tue,12,0,nonexistent,no,7,high,blue-collar,mid
41,single,yes,no,cellular,may,mon,3,1,failure,no,5,mid,white-collar,high
42,married,no,no,cellular,may,wed,1,0,nonexistent,no,3,low,blue-collar,low
40,divorced,yes,no,cellular,may,fri,1,0,nonexistent,no,3,mid,white-collar,high
30,single,no,no,cellular,aug,fri,1,0,nonexistent,no,2,mid,white-collar,high
47,married,yes,yes,cellular,jul,mon,3,0,nonexistent,no,2,high,white-collar,high
38,single,yes,yes,cellular,apr,mon,1,0,nonexistent,no,0,high,white-collar,high
38,divorced,yes,no,cellular,aug,fri,4,0,nonexistent,no,2,high,white-collar,high
40,married,yes,no,cellular,apr,mon,1,0,nonexistent,no,4,high,white-collar,high
44,married,yes,no,cellular,jul,wed,1,0,nonexistent,no,2,mid,white-collar,high
39,married,no,no,cellular,jul,thu,9,0,nonexistent,no,4,mid,blue-collar,mid
42,married,yes,no,telephone,may,mon,1,0,nonexistent,no,9,low,blue-collar,low
38,married,yes,no,cellular,apr,wed,2,0,nonexistent,no,8,mid,blue-collar,mid
25,married,no,no,cellular,jul,tue,4,0,nonexistent,no,1,low,blue-collar,low
33,married,no,no,telephone,jun,thu,1,0,nonexistent,no,0,mid,white-collar,high
31,married,no,no,telephone,may,wed,3,0,nonexistent,no,8,mid,white-collar,high
49,married,no,no,telephone,may,wed,12,0,nonexistent,no,0,mid,white-collar,high
59,divorced,yes,no,cellular,may,fri,1,0,nonexistent,yes,15,high,white-collar,high
56,married,yes,no,telephone,may,thu,3,0,nonexistent,no,4,low,blue-collar,low
39,divorced,no,yes,telephone,may,thu,2,0,nonexistent,no,2,low,blue-collar,low
30,divorced,yes,no,telephone,may,tue,1,0,nonexistent,no,5,low,blue-collar,mid
51,married,yes,yes,telephone,may,tue,5,0,nonexistent,no,4,high,out-of-workforce,low
40,married,no,no,telephone,jul,tue,12,0,nonexistent,no,4,mid,white-collar,high
57,married,yes,no,cellular,jun,wed,1,0,nonexistent,no,8,low,white-collar,high
37,married,no,no,cellular,nov,mon,4,0,nonexistent,no,4,mid,white-collar,high
40,single,yes,no,cellular,jul,mon,3,0,nonexistent,no,3,mid,white-collar,high
57,single,no,no,cellular,jul,mon,5,0,nonexistent,no,2,high,out-of-workforce,low
58,married,no,no,telephone,jun,mon,1,0,nonexistent,no,1,low,blue-collar,low
29,married,no,no,telephone,jun,wed,3,0,nonexistent,no,4,mid,blue-collar,low
45,married,yes,no,cellular,aug,wed,4,0,nonexistent,no,1,low,out-of-workforce,low
43,married,yes,no,telephone,may,tue,2,0,nonexistent,no,2,low,blue-collar,low
50,married,yes,no,cellular,aug,tue,1,0,nonexistent,no,23,mid,blue-collar,low
41,married,no,no,cellular,aug,mon,2,0,nonexistent,no,3,high,white-collar,mid
33,married,yes,no,cellular,mar,thu,1,1,success,no,2,high,white-collar,high
32,single,no,no,telephone,jun,wed,1,0,nonexistent,no,5,mid,white-collar,high
35,married,yes,no,cellular,may,wed,1,1,failure,no,2,mid,white-collar,high
51,divorced,no,yes,telephone,may,mon,2,0,nonexistent,no,2,high,white-collar,high
42,divorced,yes,no,cellular,may,fri,1,1,failure,no,3,mid,white-collar,high
27,single,yes,no,telephone,may,wed,1,0,nonexistent,yes,22,mid,white-collar,high
28,married,yes,no,telephone,jul,thu,4,0,nonexistent,no,2,mid,blue-collar,mid
37,married,no,yes,cellular,dec,mon,2,1,success,yes,3,high,white-collar,high
49,married,no,no,cellular,may,fri,2,2,failure,no,3,low,blue-collar,low
58,divorced,no,no,telephone,oct,thu,1,0,nonexistent,no,1,mid,white-collar,high
35,married,no,no,cellular,aug,mon,1,0,nonexistent,no,3,mid,blue-collar,mid
34,married,no,no,cellular,jul,wed,11,0,nonexistent,no,4,mid,blue-collar,mid
42,married,yes,yes,cellular,aug,mon,2,0,nonexistent,no,4,mid,blue-collar,mid
36,married,no,no,telephone,jul,thu,1,0,nonexistent,no,1,mid,out-of-workforce,low
41,divorced,yes,no,cellular,aug,mon,3,0,nonexistent,no,3,mid,blue-collar,mid
37,married,no,no,cellular,aug,mon,1,0,nonexistent,no,3,high,white-collar,high
39,married,no,no,telephone,may,tue,1,0,nonexistent,no,0,low,white-collar,high
36,married,no,no,telephone,may,tue,2,0,nonexistent,no,6,high,white-collar,mid
26,single,no,no,telephone,may,tue,1,0,nonexistent,no,7,mid,blue-collar,mid
27,single,yes,no,cellular,may,tue,1,1,failure,no,3,low,blue-collar,low
82,divorced,no,no,cellular,jul,wed,1,0,nonexistent,yes,5,low,blue-collar,low
31,married,yes,no,telephone,jun,wed,4,0,nonexistent,no,5,low,blue-collar,low
52,divorced,no,no,telephone,jun,wed,5,0,nonexistent,no,0,mid,blue-collar,low
45,married,no,no,telephone,jun,fri,2,0,nonexistent,yes,16,low,white-collar,high
47,married,yes,no,cellular,aug,fri,3,0,nonexistent,no,2,mid,blue-collar,mid
25,married,no,no,telephone,jun,mon,4,0,nonexistent,no,2,low,blue-collar,low
47,divorced,no,no,telephone,may,wed,3,0,nonexistent,no,6,mid,blue-collar,mid
40,single,no,no,cellular,aug,wed,2,0,nonexistent,no,2,mid,blue-collar,mid
46,married,yes,yes,telephone,may,mon,1,0,nonexistent,no,1,low,white-collar,mid
35,married,no,no,telephone,jun,thu,1,0,nonexistent,no,1,mid,blue-collar,low
45,married,no,no,cellular,apr,thu,2,1,failure,no,4,low,blue-collar,low
30,married,no,no,cellular,may,tue,3,1,failure,no,5,high,white-collar,high
30,married,yes,no,cellular,apr,thu,1,0,nonexistent,no,5,high,white-collar,high
41,married,yes,no,cellular,jul,tue,2,0,nonexistent,no,1,low,blue-collar,low
38,single,yes,no,telephone,may,tue,1,0,nonexistent,yes,37,low,blue-collar,low
40,divorced,no,yes,telephone,jun,fri,1,0,nonexistent,no,6,low,blue-collar,mid
45,married,yes,no,cellular,may,fri,1,0,nonexistent,yes,5,high,white-collar,high
53,married,yes,no,cellular,may,mon,2,1,failure,no,1,low,blue-collar,low
49,divorced,no,no,cellular,apr,wed,2,0,nonexistent,no,6,mid,white-collar,high
34,single,no,no,cellular,may,tue,2,0,nonexistent,no,3,high,blue-collar,mid
46,married,yes,yes,cellular,sep,mon,1,0,nonexistent,no,3,high,out-of-workforce,low
44,married,yes,no,telephone,nov,mon,1,0,nonexistent,no,3,low,out-of-workforce,low
29,single,yes,no,cellular,mar,mon,1,0,nonexistent,yes,2,high,white-collar,high
31,married,no,no,cellular,may,fri,1,1,failure,yes,12,high,white-collar,mid
26,single,yes,no,telephone,apr,fri,2,0,nonexistent,no,2,mid,blue-collar,mid
51,married,yes,no,cellular,jul,wed,1,0,nonexistent,no,3,high,white-collar,high
33,single,no,no,cellular,apr,tue,3,1,failure,no,2,high,white-collar,high
56,married,no,no,cellular,nov,wed,1,1,success,yes,4,high,out-of-workforce,low
53,married,no,yes,telephone,jul,tue,3,0,nonexistent,no,2,high,white-collar,high
48,divorced,yes,no,telephone,jun,tue,3,0,nonexistent,no,6,low,blue-collar,low
59,divorced,no,no,cellular,jul,thu,1,0,nonexistent,yes,6,low,blue-collar,low
37,married,no,no,telephone,jun,thu,1,0,nonexistent,no,1,high,white-collar,high
37,married,yes,no,cellular,jul,wed,10,0,nonexistent,no,6,low,blue-collar,low
34,married,no,yes,telephone,may,thu,3,0,nonexistent,no,5,high,white-collar,high
37,married,no,no,telephone,jun,wed,16,0,nonexistent,no,1,mid,out-of-workforce,low
29,divorced,yes,yes,cellular,may,mon,6,0,nonexistent,no,1,mid,white-collar,high
29,married,no,no,telephone,may,mon,5,0,nonexistent,no,3,high,blue-collar,mid
45,married,no,no,cellular,aug,thu,14,0,nonexistent,no,0,high,white-collar,high
71,married,no,no,cellular,apr,mon,3,0,nonexistent,no,2,low,out-of-workforce,low
36,divorced,yes,no,telephone,may,thu,2,0,nonexistent,no,4,mid,blue-collar,mid
45,married,yes,no,cellular,may,thu,1,3,failure,no,3,low,white-collar,high
48,married,no,no,cellular,aug,fri,1,0,nonexistent,no,1,mid,blue-collar,mid
55,married,no,no,cellular,aug,mon,1,0,nonexistent,no,1,mid,blue-collar,mid
54,divorced,no,no,telephone,jun,thu,1,0,nonexistent,no,3,high,white-collar,high
42,married,yes,no,telephone,jul,thu,2,0,nonexistent,no,8,low,white-collar,high
39,married,yes,no,telephone,may,wed,6,0,nonexistent,no,0,low,white-collar,high
27,single,no,no,cellular,jul,thu,1,0,nonexistent,no,2,high,blue-collar,mid
44,single,no,no,cellular,may,wed,1,0,nonexistent,yes,7,mid,blue-collar,mid
26,married,yes,no,cellular,jul,wed,1,0,nonexistent,no,3,high,blue-collar,mid
45,married,no,yes,telephone,may,thu,1,0,nonexistent,no,2,low,blue-collar,low
28,married,yes,no,cellular,may,thu,1,0,nonexistent,no,7,high,blue-collar,mid
36,married,no,no,cellular,apr,fri,1,1,success,yes,5,low,blue-collar,low
48,married,yes,no,cellular,nov,mon,5,2,success,no,1,mid,blue-collar,mid
27,single,yes,no,cellular,may,mon,5,0,nonexistent,no,0,high,blue-collar,mid
31,single,yes,no,cellular,nov,wed,1,1,failure,no,4,mid,blue-collar,low
37,married,no,yes,cellular,jul,fri,1,0,nonexistent,no,6,mid,white-collar,high
47,divorced,yes,yes,cellular,may,tue,1,3,failure,yes,6,high,blue-collar,mid
33,divorced,yes,no,cellular,mar,thu,1,0,nonexistent,no,1,mid,white-collar,high
38,married,no,no,telephone,jun,mon,1,0,nonexistent,no,9,low,blue-collar,low
37,married,yes,no,cellular,nov,fri,2,0,nonexistent,no,1,mid,blue-collar,mid
31,married,no,no,cellular,jul,mon,4,0,nonexistent,no,11,mid,blue-collar,mid
55,married,yes,no,telephone,jun,thu,1,0,nonexistent,no,3,mid,white-collar,high
39,married,no,no,telephone,may,fri,1,0,nonexistent,no,9,low,blue-collar,low
37,married,yes,no,telephone,jun,tue,4,0,nonexistent,no,6,low,blue-collar,low
43,married,no,yes,cellular,nov,wed,5,0,nonexistent,no,3,low,white-collar,mid
47,married,no,no,cellular,aug,tue,3,0,nonexistent,yes,8,high,white-collar,high
51,married,no,no,telephone,jun,tue,1,0,nonexistent,no,2,high,white-collar,mid
34,single,no,no,telephone,may,wed,8,0,nonexistent,no,2,mid,out-of-workforce,low
36,married,no,yes,cellular,nov,wed,3,3,success,yes,3,high,white-collar,high
31,divorced,yes,no,cellular,aug,thu,1,0,nonexistent,no,3,high,white-collar,high
29,married,yes,yes,cellular,may,fri,3,2,failure,yes,9,high,white-collar,high
33,divorced,yes,yes,cellular,may,tue,4,0,nonexistent,no,11,mid,blue-collar,mid
28,married,yes,yes,telephone,jun,fri,1,0,nonexistent,no,4,low,white-collar,high
36,married,no,yes,cellular,may,mon,2,1,failure,no,3,high,white-collar,mid
44,married,no,no,cellular,aug,tue,1,0,nonexistent,no,2,high,white-collar,high
45,divorced,no,no,cellular,apr,tue,2,0,nonexistent,no,3,high,white-collar,high
37,married,yes,no,cellular,aug,thu,5,0,nonexistent,no,1,high,white-collar,high
41,single,yes,no,cellular,aug,wed,1,0,nonexistent,no,2,high,blue-collar,low
28,single,yes,no,cellular,may,wed,2,1,success,no,9,mid,blue-collar,mid
42,married,yes,no,cellular,nov,mon,1,0,nonexistent,no,2,high,white-collar,high
30,married,yes,no,telephone,oct,tue,2,0,nonexistent,no,9,mid,blue-collar,mid
48,married,no,no,cellular,aug,thu,1,0,nonexistent,no,2,low,blue-collar,mid
42,divorced,no,yes,telephone,may,fri,1,0,nonexistent,no,1,low,blue-collar,low
50,married,no,no,cellular,aug,thu,14,0,nonexistent,no,0,low,white-collar,high
42,married,yes,no,cellular,aug,thu,5,0,nonexistent,no,3,high,white-collar,high
57,married,no,no,telephone,jun,mon,3,0,nonexistent,no,2,high,white-collar,high
29,married,yes,no,cellular,aug,fri,1,0,nonexistent,no,2,mid,blue-collar,mid
35,married,no,no,telephone,may,tue,4,0,nonexistent,no,4,high,white-collar,high
26,single,no,no,cellular,jul,tue,5,0,nonexistent,no,3,low,blue-collar,low
45,married,yes,no,cellular,may,wed,4,1,failure,yes,18,high,white-collar,high
32,single,yes,no,telephone,may,wed,2,0,nonexistent,no,3,mid,blue-collar,mid
35,married,yes,no,cellular,mar,tue,3,0,nonexistent,yes,6,mid,white-collar,high
29,married,no,no,cellular,jul,mon,1,0,nonexistent,no,6,mid,blue-collar,mid
27,married,yes,no,cellular,jul,fri,2,0,nonexistent,no,3,mid,blue-collar,low
70,married,no,no,telephone,mar,mon,2,2,success,no,3,high,out-of-workforce,low
38,divorced,yes,no,telephone,may,wed,1,0,nonexistent,no,4,mid,blue-collar,low
53,married,no,no,telephone,may,mon,1,0,nonexistent,no,2,low,white-collar,high
42,married,no,no,telephone,jun,tue,2,0,nonexistent,no,5,low,blue-collar,low
43,married,no,no,cellular,apr,fri,2,0,nonexistent,no,3,low,blue-collar,low
28,single,yes,yes,telephone,jun,wed,6,0,nonexistent,no,10,mid,out-of-workforce,low
27,single,no,no,telephone,may,thu,2,0,nonexistent,no,2,mid,blue-collar,mid
50,single,yes,yes,cellular,jun,thu,1,1,failure,yes,3,mid,blue-collar,mid
47,married,no,no,cellular,jul,thu,1,0,nonexistent,no,8,mid,white-collar,high
29,single,yes,yes,telephone,jun,wed,2,0,nonexistent,no,4,high,white-collar,high
36,single,yes,no,cellular,aug,thu,1,0,nonexistent,no,2,high,white-collar,high
34,single,yes,no,cellular,aug,mon,4,0,nonexistent,no,2,high,white-collar,high
34,married,yes,no,cellular,aug,fri,1,0,nonexistent,no,1,mid,blue-collar,mid
39,single,no,no,telephone,may,wed,1,0,nonexistent,no,6,low,blue-collar,mid
38,married,no,no,cellular,may,thu,2,1,failure,no,1,low,blue-collar,low
37,married,yes,no,cellular,may,thu,3,0,nonexistent,no,3,low,blue-collar,mid
60,divorced,yes,no,telephone,jun,mon,4,0,nonexistent,no,4,low,out-of-workforce,low
57,married,no,no,cellular,aug,wed,1,0,nonexistent,yes,17,low,blue-collar,low
39,single,yes,yes,cellular,may,mon,1,0,nonexistent,no,5,high,white-collar,high
38,divorced,no,no,telephone,may,thu,1,0,nonexistent,no,3,low,blue-collar,mid
44,married,yes,yes,telephone,may,tue,5,0,nonexistent,no,2,low,white-collar,high
59,married,yes,no,cellular,aug,tue,1,0,nonexistent,no,5,low,white-collar,high
39,married,yes,yes,cellular,aug,thu,4,0,nonexistent,no,6,high,white-collar,high
34,married,no,no,telephone,jun,tue,1,0,nonexistent,no,3,low,blue-collar,low
53,married,yes,no,telephone,jul,tue,2,0,nonexistent,no,12,low,blue-collar,mid
31,single,no,no,cellular,aug,thu,3,0,nonexistent,no,7,high,white-collar,high
55,married,yes,no,cellular,jul,wed,1,0,nonexistent,no,8,low,out-of-workforce,low
34,married,no,no,cellular,apr,thu,1,1,failure,no,4,low,blue-collar,low
33,married,yes,no,telephone,jul,wed,1,0,nonexistent,no,3,low,blue-collar,low
32,divorced,no,no,telephone,may,tue,1,0,nonexistent,no,5,mid,white-collar,high
36,single,yes,no,cellular,may,fri,3,1,failure,no,5,low,blue-collar,mid
42,married,no,no,cellular,nov,mon,2,1,failure,yes,11,mid,white-collar,high
37,married,no,no,cellular,aug,thu,1,0,nonexistent,no,5,high,white-collar,high
34,married,yes,no,cellular,may,fri,1,1,failure,no,2,mid,blue-collar,low
41,married,no,no,telephone,jun,mon,2,0,nonexistent,no,4,low,blue-collar,low
52,divorced,yes,no,cellular,aug,fri,1,0,nonexistent,no,1,high,white-collar,high
44,married,yes,no,telephone,may,thu,2,0,nonexistent,no,9,mid,blue-collar,mid
47,married,no,yes,telephone,jun,wed,3,0,nonexistent,no,2,mid,white-collar,high
47,married,no,yes,telephone,may,fri,3,0,nonexistent,no,4,low,white-collar,high
27,single,yes,no,cellular,jun,fri,2,1,failure,yes,4,high,white-collar,high
29,married,yes,no,cellular,may,mon,2,2,failure,no,2,low,blue-collar,low
36,married,no,no,telephone,jun,fri,2,0,nonexistent,no,3,mid,blue-collar,mid
32,married,no,no,telephone,may,mon,1,0,nonexistent,no,3,mid,white-collar,high
56,married,yes,no,cellular,nov,fri,5,0,nonexistent,no,4,mid,blue-collar,mid
35,married,no,no,cellular,jul,thu,10,0,nonexistent,no,0,high,white-collar,high
47,divorced,yes,no,cellular,aug,wed,2,0,nonexistent,no,3,low,blue-collar,low
48,married,no,no,cellular,aug,fri,2,0,nonexistent,no,2,high,blue-collar,mid
33,married,no,no,cellular,nov,mon,2,0,nonexistent,no,4,low,blue-collar,low
29,married,yes,no,telephone,may,mon,6,0,nonexistent,no,1,mid,blue-collar,low
85,married,yes,no,cellular,apr,fri,2,0,nonexistent,no,2,low,out-of-workforce,low
37,married,yes,no,cellular,apr,thu,1,1,failure,no,4,low,blue-collar,low
31,single,yes,no,telephone,may,mon,4,0,nonexistent,no,2,mid,blue-collar,low
48,married,no,no,cellular,jul,tue,1,0,nonexistent,yes,12,mid,white-collar,high
33,divorced,yes,no,cellular,may,thu,1,0,nonexistent,no,3,high,white-collar,mid
48,divorced,yes,yes,telephone,may,fri,2,0,nonexistent,no,4,mid,blue-collar,mid
34,single,yes,no,telephone,aug,tue,1,0,nonexistent,yes,3,high,white-collar,high
35,single,no,no,cellular,nov,wed,2,1,failure,no,1,mid,blue-collar,low
44,married,yes,no,cellular,jul,wed,1,0,nonexistent,no,3,low,out-of-workforce,low
39,married,no,no,cellular,jul,wed,3,0,nonexistent,no,3,mid,blue-collar,mid
33,married,no,no,cellular,aug,wed,2,0,nonexistent,no,5,mid,white-collar,high
36,single,no,no,telephone,may,thu,1,0,nonexistent,no,2,high,white-collar,high
26,single,yes,no,telephone,may,mon,2,0,nonexistent,no,1,high,white-collar,high
57,married,yes,no,cellular,may,mon,2,0,nonexistent,no,3,mid,blue-collar,mid
39,married,yes,no,cellular,may,thu,8,0,nonexistent,no,2,mid,white-collar,high
33,married,yes,no,telephone,jun,fri,1,0,nonexistent,no,2,low,blue-collar,low
72,married,yes,no,cellular,may,wed,4,0,nonexistent,yes,7,low,out-of-workforce,low
36,divorced,yes,no,cellular,apr,mon,1,0,nonexistent,no,6,low,blue-collar,low
36,married,no,no,telephone,jun,tue,1,0,nonexistent,no,3,high,blue-collar,mid
56,married,no,no,cellular,jul,fri,5,0,nonexistent,no,2,high,white-collar,high
37,married,yes,no,telephone,jun,thu,1,0,nonexistent,no,3,mid,blue-collar,low
37,single,yes,no,cellular,aug,wed,2,0,nonexistent,no,2,mid,blue-collar,mid
35,married,yes,yes,telephone,jun,thu,1,0,nonexistent,no,6,low,blue-collar,mid
24,single,no,no,cellular,apr,mon,2,1,failure,no,2,mid,blue-collar,low
29,single,no,no,telephone,jun,mon,4,0,nonexistent,no,3,mid,blue-collar,mid
55,married,no,yes,cellular,jul,tue,4,0,nonexistent,no,10,low,out-of-workforce,low
43,married,yes,no,telephone,may,fri,2,0,nonexistent,no,26,low,blue-collar,low
29,single,yes,yes,cellular,aug,fri,1,0,nonexistent,no,3,mid,blue-collar,mid
56,married,no,no,telephone,may,thu,2,0,nonexistent,no,12,high,white-collar,high
34,single,no,no,cellular,nov,fri,2,0,nonexistent,no,1,high,white-collar,high
20,single,yes,no,cellular,may,thu,3,0,nonexistent,no,15,mid,blue-collar,low
30,married,yes,no,telephone,may,tue,2,0,nonexistent,yes,11,high,blue-collar,mid
37,married,no,no,cellular,jul,mon,1,0,nonexistent,no,6,high,white-collar,high
29,married,no,no,cellular,jul,thu,1,0,nonexistent,no,5,mid,blue-collar,mid
28,married,yes,no,telephone,may,wed,2,0,nonexistent,no,4,mid,blue-collar,mid
39,married,yes,no,telephone,may,tue,2,0,nonexistent,no,3,mid,white-collar,high
45,married,no,no,telephone,may,tue,1,0,nonexistent,no,4,low,blue-collar,mid
37,divorced,yes,no,cellular,jul,thu,2,0,nonexistent,no,6,low,blue-collar,low
48,married,no,no,cellular,may,fri,1,0,nonexistent,no,5,mid,white-collar,high
46,married,yes,yes,cellular,may,wed,1,0,nonexistent,no,4,mid,blue-collar,mid
27,married,yes,yes,cellular,jul,mon,3,0,nonexistent,no,3,low,white-collar,high
34,married,no,no,cellular,jul,thu,1,0,nonexistent,no,1,high,blue-collar,mid
51,married,no,no,cellular,aug,fri,2,0,nonexistent,no,1,low,out-of-workforce,low
23,married,yes,no,cellular,aug,mon,1,2,success,yes,6,mid,blue-collar,mid
36,single,yes,no,cellular,jul,wed,3,0,nonexistent,no,6,high,white-collar,mid
27,single,yes,no,cellular,jul,fri,1,0,nonexistent,yes,13,mid,blue-collar,mid
31,married,no,no,telephone,may,wed,1,0,nonexistent,no,3,low,blue-collar,low
44,married,yes,no,cellular,apr,thu,2,0,nonexistent,yes,7,high,blue-collar,low
30,single,yes,no,cellular,sep,tue,1,1,failure,no,1,mid,out-of-workforce,low
49,married,yes,no,telephone,jul,mon,1,0,nonexistent,no,0,high,white-collar,high
53,married,yes,no,cellular,aug,mon,5,0,nonexistent,no,1,low,blue-collar,low
41,divorced,yes,no,telephone,may,tue,1,0,nonexistent,no,12,low,blue-collar,mid
33,single,no,no,telephone,nov,fri,1,0,nonexistent,no,1,high,white-collar,high
32,single,yes,no,cellular,apr,tue,3,0,nonexistent,no,1,high,blue-collar,mid
57,married,no,no,telephone,jun,wed,2,0,nonexistent,yes,11,mid,blue-collar,low
37,married,no,no,cellular,aug,thu,3,0,nonexistent,no,5,mid,blue-collar,mid
43,married,no,no,telephone,may,mon,5,0,nonexistent,no,2,low,white-collar,high
37,married,yes,no,cellular,nov,mon,3,1,success,no,2,mid,white-collar,high
37,married,yes,no,telephone,jun,wed,3,0,nonexistent,no,12,high,white-collar,high
25,single,no,no,cellular,jul,fri,1,0,nonexistent,no,14,high,white-collar,high
36,married,no,no,cellular,aug,mon,9,0,nonexistent,no,2,low,blue-collar,low
44,single,no,no,cellular,nov,fri,2,0,nonexistent,yes,9,high,white-collar,high
46,single,no,no,cellular,jul,fri,9,0,nonexistent,yes,14,high,white-collar,high
49,married,no,no,telephone,may,tue,1,0,nonexistent,no,0,low,blue-collar,low
53,divorced,yes,no,telephone,may,tue,16,0,nonexistent,no,0,high,blue-collar,mid
45,married,yes,no,cellular,may,wed,7,0,nonexistent,no,0,mid,blue-collar,mid
30,single,yes,no,cellular,jul,thu,6,0,nonexistent,no,1,mid,blue-collar,mid
34,divorced,no,yes,telephone,may,mon,2,0,nonexistent,no,3,low,blue-collar,mid
31,single,no,no,cellular,may,thu,2,1,failure,no,1,high,white-collar,high
