age,marital,education_level,job_type,income_level,contact,day_of_week,duration_mins,campaign,previous,poutcome,was_contacted_before,deposited_before,y
41,married,high,blue-collar,mid,cellular,tue,0,3,0,nonexistent,False,False,no
43,married,high,white-collar,high,cellular,mon,1,1,0,nonexistent,False,False,no
44,married,mid,blue-collar,mid,cellular,mon,1,2,0,nonexistent,False,False,no
44,divorced,low,blue-collar,mid,telephone,thu,1,1,0,nonexistent,False,False,no
38,married,low,blue-collar,mid,cellular,fri,2,2,0,nonexistent,False,False,no
42,married,low,blue-collar,mid,telephone,wed,0,1,0,nonexistent,False,False,no
27,married,low,blue-collar,mid,cellular,mon,4,1,0,nonexistent,False,False,no
30,single,high,white-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
36,single,high,white-collar,mid,telephone,wed,5,6,0,nonexistent,False,False,no
31,married,mid,white-collar,high,cellular,wed,2,2,0,nonexistent,False,False,no
38,married,low,white-collar,mid,telephone,thu,4,3,0,nonexistent,False,False,no
24,single,mid,blue-collar,mid,telephone,tue,2,1,1,failure,True,False,no
25,single,mid,blue-collar,mid,cellular,thu,11,1,0,nonexistent,False,False,no
40,single,high,white-collar,mid,telephone,mon,3,2,0,nonexistent,False,False,no
40,divorced,mid,white-collar,mid,cellular,mon,14,2,0,nonexistent,False,False,yes
30,married,mid,blue-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
50,married,low,blue-collar,mid,telephone,wed,2,1,0,nonexistent,False,False,no
42,married,mid,blue-collar,mid,cellular,mon,1,3,0,nonexistent,False,False,no
52,married,low,blue-collar,mid,telephone,tue,5,1,0,nonexistent,False,False,no
32,divorced,mid,blue-collar,mid,telephone,tue,4,3,0,nonexistent,False,False,no
35,married,high,white-collar,mid,telephone,thu,3,1,0,nonexistent,False,False,no
36,single,low,blue-collar,mid,telephone,tue,2,1,0,nonexistent,False,False,no
44,single,low,out-of-workforce,low,telephone,tue,1,2,0,nonexistent,False,False,no
55,married,mid,blue-collar,mid,cellular,fri,2,1,0,nonexistent,False,False,no
54,divorced,mid,white-collar,mid,telephone,thu,3,1,0,nonexistent,False,False,no
50,single,high,white-collar,mid,telephone,tue,3,1,0,nonexistent,False,False,no
34,married,high,white-collar,mid,cellular,mon,3,1,1,failure,True,False,no
30,married,high,white-collar,mid,telephone,wed,10,3,0,nonexistent,False,False,yes
65,married,mid,out-of-workforce,low,cellular,mon,2,2,0,nonexistent,False,False,no
36,single,mid,white-collar,mid,cellular,fri,2,1,1,failure,True,False,no
45,married,mid,blue-collar,mid,cellular,tue,4,3,0,nonexistent,False,False,no
33,divorced,low,blue-collar,mid,cellular,thu,4,1,1,failure,True,False,no
56,divorced,mid,blue-collar,mid,cellular,wed,8,1,1,failure,True,False,no
35,married,mid,blue-collar,mid,cellular,tue,1,1,0,nonexistent,False,False,no
39,married,high,white-collar,high,telephone,thu,2,1,0,nonexistent,False,False,no
36,married,mid,white-collar,mid,cellular,mon,1,2,0,nonexistent,False,False,no
33,single,mid,white-collar,mid,cellular,fri,3,1,0,nonexistent,False,False,no
28,married,mid,blue-collar,mid,telephone,mon,0,2,0,nonexistent,False,False,no
36,single,mid,blue-collar,mid,telephone,wed,2,1,0,nonexistent,False,False,no
34,single,mid,blue-collar,mid,telephone,tue,2,2,0,nonexistent,False,False,no
51,married,high,white-collar,high,telephone,fri,5,1,0,nonexistent,False,False,no
44,married,low,blue-collar,mid,cellular,thu,2,2,0,nonexistent,False,False,no
55,divorced,mid,blue-collar,mid,cellular,mon,3,7,0,nonexistent,False,False,no
55,married,low,white-collar,high,cellular,wed,2,1,0,nonexistent,False,False,no
33,married,high,white-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
29,single,mid,blue-collar,mid,telephone,mon,1,2,0,nonexistent,False,False,no
43,married,low,white-collar,mid,telephone,thu,3,1,0,nonexistent,False,False,no
27,single,high,white-collar,mid,cellular,tue,6,1,2,failure,True,False,no
20,single,mid,out-of-workforce,low,telephone,fri,3,2,2,success,True,True,no
31,single,mid,blue-collar,mid,cellular,thu,2,3,0,nonexistent,False,False,no
45,divorced,mid,blue-collar,mid,cellular,tue,3,1,0,nonexistent,False,False,no
33,married,low,blue-collar,mid,telephone,wed,3,4,0,nonexistent,False,False,no
32,single,high,white-collar,mid,cellular,thu,1,2,0,nonexistent,False,False,no
32,married,mid,white-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
42,married,low,blue-collar,mid,cellular,thu,5,1,0,nonexistent,False,False,no
25,single,high,white-collar,mid,cellular,fri,19,2,1,success,True,True,no
36,divorced,high,white-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
24,single,mid,out-of-workforce,low,cellular,thu,3,1,0,nonexistent,False,False,yes
35,single,mid,blue-collar,mid,cellular,tue,1,1,0,nonexistent,False,False,no
34,married,mid,blue-collar,mid,telephone,wed,3,4,0,nonexistent,False,False,no
41,single,low,out-of-workforce,low,cellular,fri,5,1,0,nonexistent,False,False,no
42,married,high,white-collar,mid,telephone,tue,4,3,0,nonexistent,False,False,no
27,single,low,blue-collar,mid,cellular,fri,4,1,0,nonexistent,False,False,no
45,married,mid,white-collar,mid,telephone,fri,2,5,0,nonexistent,False,False,no
48,married,low,blue-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
49,single,mid,white-collar,mid,telephone,thu,0,2,0,nonexistent,False,False,no
44,married,high,white-collar,mid,cellular,tue,4,2,0,nonexistent,False,False,no
32,single,mid,blue-collar,mid,cellular,fri,3,2,0,nonexistent,False,False,yes
43,married,mid,white-collar,high,telephone,mon,2,2,0,nonexistent,False,False,no
32,married,low,blue-collar,mid,cellular,thu,6,1,0,nonexistent,False,False,no
22,single,high,white-collar,mid,cellular,mon,3,2,3,failure,True,False,yes
37,married,mid,white-collar,mid,cellular,tue,2,1,0,nonexistent,False,False,no
50,married,high,white-collar,mid,cellular,tue,2,3,0,nonexistent,False,False,no
30,married,mid,white-collar,mid,telephone,wed,8,2,0,nonexistent,False,False,no
39,married,mid,white-collar,mid,cellular,fri,4,1,1,failure,True,False,no
26,single,high,white-collar,mid,telephone,thu,0,1,0,nonexistent,False,False,no
57,married,low,blue-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
36,married,low,blue-collar,mid,telephone,wed,12,2,0,nonexistent,False,False,no
40,divorced,low,blue-collar,mid,cellular,fri,10,1,0,nonexistent,False,False,no
42,married,low,blue-collar,mid,telephone,mon,2,2,0,nonexistent,False,False,no
29,single,low,blue-collar,mid,cellular,thu,24,1,1,failure,True,False,no
40,married,mid,white-collar,mid,telephone,thu,1,4,0,nonexistent,False,False,no
59,married,high,blue-collar,mid,cellular,thu,4,10,0,nonexistent,False,False,no
43,single,low,blue-collar,mid,cellular,thu,7,2,0,nonexistent,False,False,no
30,single,high,blue-collar,mid,cellular,tue,5,3,0,nonexistent,False,False,no
42,married,mid,blue-collar,mid,telephone,mon,27,1,0,nonexistent,False,False,no
44,married,mid,blue-collar,mid,telephone,thu,8,3,0,nonexistent,False,False,no
28,single,high,white-collar,mid,cellular,mon,5,1,2,success,True,True,no
31,married,high,white-collar,mid,cellular,thu,3,2,0,nonexistent,False,False,no
49,divorced,low,blue-collar,mid,cellular,wed,1,1,0,nonexistent,False,False,no
31,married,low,white-collar,mid,cellular,wed,5,1,1,failure,True,False,no
42,married,low,blue-collar,mid,cellular,thu,6,2,0,nonexistent,False,False,no
51,divorced,mid,blue-collar,mid,cellular,fri,1,1,0,nonexistent,False,False,no
42,married,low,blue-collar,mid,cellular,tue,7,1,0,nonexistent,False,False,no
35,single,high,white-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
30,single,mid,blue-collar,mid,telephone,wed,1,5,0,nonexistent,False,False,no
47,married,low,white-collar,high,telephone,fri,18,2,0,nonexistent,False,False,no
33,single,low,blue-collar,mid,cellular,thu,2,2,0,nonexistent,False,False,no
39,divorced,mid,white-collar,mid,cellular,thu,10,4,1,failure,True,False,yes
43,married,low,out-of-workforce,low,cellular,fri,2,1,0,nonexistent,False,False,no
31,married,mid,white-collar,mid,telephone,tue,6,1,0,nonexistent,False,False,no
52,married,low,blue-collar,mid,cellular,fri,4,3,0,nonexistent,False,False,no
22,single,low,blue-collar,mid,telephone,wed,2,1,0,nonexistent,False,False,no
29,single,mid,blue-collar,mid,cellular,thu,11,3,0,nonexistent,False,False,no
38,married,mid,blue-collar,mid,cellular,fri,4,1,1,failure,True,False,no
56,married,mid,out-of-workforce,low,cellular,fri,2,1,0,nonexistent,False,False,no
28,single,high,white-collar,mid,cellular,wed,2,2,0,nonexistent,False,False,yes
46,married,low,blue-collar,mid,telephone,tue,2,2,0,nonexistent,False,False,no
49,married,mid,blue-collar,mid,telephone,tue,3,1,0,nonexistent,False,False,no
48,divorced,high,blue-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
40,married,mid,blue-collar,mid,cellular,wed,5,1,0,nonexistent,False,False,no
25,single,low,blue-collar,mid,cellular,wed,8,1,0,nonexistent,False,False,yes
39,married,high,white-collar,mid,cellular,mon,1,2,0,nonexistent,False,False,no
32,married,low,blue-collar,mid,cellular,mon,1,2,0,nonexistent,False,False,no
56,married,low,blue-collar,mid,telephone,mon,2,3,0,nonexistent,False,False,no
38,married,low,blue-collar,mid,cellular,wed,5,1,0,nonexistent,False,False,no
52,single,low,white-collar,mid,telephone,thu,1,1,0,nonexistent,False,False,no
37,married,mid,blue-collar,mid,cellular,tue,9,7,0,nonexistent,False,False,no
58,divorced,high,white-collar,mid,telephone,wed,6,6,0,nonexistent,False,False,no
33,married,low,white-collar,high,telephone,tue,9,4,0,nonexistent,False,False,yes
54,married,mid,blue-collar,mid,cellular,wed,1,1,0,nonexistent,False,False,no
33,married,low,blue-collar,mid,cellular,tue,5,1,0,nonexistent,False,False,no
45,married,low,white-collar,high,telephone,thu,3,1,0,nonexistent,False,False,no
31,single,mid,blue-collar,mid,cellular,thu,8,2,0,nonexistent,False,False,no
38,married,mid,blue-collar,mid,telephone,mon,4,2,0,nonexistent,False,False,no
56,divorced,mid,blue-collar,mid,cellular,thu,2,2,0,nonexistent,False,False,no
31,married,mid,blue-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
43,married,mid,out-of-workforce,low,cellular,mon,2,5,0,nonexistent,False,False,no
28,single,mid,blue-collar,mid,telephone,fri,6,3,0,nonexistent,False,False,no
43,married,low,blue-collar,mid,telephone,thu,3,2,0,nonexistent,False,False,no
75,married,low,out-of-workforce,low,cellular,tue,3,2,0,nonexistent,False,False,no
39,married,high,white-collar,mid,telephone,tue,2,5,0,nonexistent,False,False,no
27,married,high,white-collar,mid,telephone,fri,3,2,0,nonexistent,False,False,no
42,married,mid,blue-collar,mid,cellular,fri,3,2,0,nonexistent,False,False,no
46,married,low,blue-collar,mid,telephone,fri,1,2,0,nonexistent,False,False,no
42,married,high,white-collar,mid,cellular,wed,4,1,0,nonexistent,False,False,no
38,married,high,blue-collar,mid,cellular,fri,5,3,0,nonexistent,False,False,no
59,divorced,low,out-of-workforce,low,telephone,fri,1,2,0,nonexistent,False,False,no
46,married,low,blue-collar,mid,telephone,wed,3,10,0,nonexistent,False,False,no
27,single,low,blue-collar,mid,telephone,wed,3,2,0,nonexistent,False,False,no
40,married,mid,blue-collar,mid,cellular,wed,5,1,0,nonexistent,False,False,no
35,divorced,mid,blue-collar,mid,telephone,fri,2,2,0,nonexistent,False,False,no
32,divorced,mid,blue-collar,mid,cellular,fri,4,13,0,nonexistent,False,False,no
29,married,mid,blue-collar,mid,telephone,thu,1,3,0,nonexistent,False,False,no
53,married,mid,white-collar,high,cellular,mon,0,3,0,nonexistent,False,False,no
36,married,low,blue-collar,mid,telephone,mon,2,2,0,nonexistent,False,False,no
28,married,low,blue-collar,mid,telephone,wed,5,1,0,nonexistent,False,False,no
35,married,mid,blue-collar,mid,cellular,mon,6,1,0,nonexistent,False,False,no
31,married,low,blue-collar,mid,telephone,wed,5,1,0,nonexistent,False,False,no
47,married,low,white-collar,high,telephone,fri,3,1,0,nonexistent,False,False,no
35,single,high,white-collar,mid,cellular,thu,4,1,1,failure,True,False,no
46,married,high,white-collar,mid,cellular,tue,4,3,0,nonexistent,False,False,no
55,married,high,white-collar,mid,cellular,tue,4,1,0,nonexistent,False,False,no
51,married,low,blue-collar,mid,telephone,thu,0,9,0,nonexistent,False,False,no
28,married,mid,blue-collar,mid,telephone,fri,2,4,0,nonexistent,False,False,no
34,married,low,blue-collar,mid,telephone,mon,4,8,0,nonexistent,False,False,no
31,married,mid,blue-collar,mid,cellular,wed,10,1,1,failure,True,False,yes
35,married,mid,blue-collar,mid,telephone,fri,1,2,0,nonexistent,False,False,no
34,married,mid,blue-collar,mid,telephone,tue,4,1,0,nonexistent,False,False,no
45,married,high,white-collar,mid,cellular,wed,2,2,0,nonexistent,False,False,no
32,single,low,blue-collar,mid,telephone,mon,2,1,0,nonexistent,False,False,no
40,married,mid,blue-collar,mid,cellular,thu,4,6,0,nonexistent,False,False,no
32,married,mid,white-collar,mid,cellular,mon,0,5,0,nonexistent,False,False,no
26,single,mid,blue-collar,mid,telephone,fri,3,2,1,success,True,True,yes
35,married,low,white-collar,mid,cellular,wed,1,1,0,nonexistent,False,False,no
35,married,mid,blue-collar,mid,cellular,thu,2,3,0,nonexistent,False,False,no
34,married,high,white-collar,high,telephone,tue,2,2,0,nonexistent,False,False,no
39,married,low,out-of-workforce,low,cellular,mon,1,1,0,nonexistent,False,False,no
40,married,low,blue-collar,mid,telephone,thu,3,1,0,nonexistent,False,False,yes
35,divorced,low,white-collar,mid,cellular,mon,1,6,0,nonexistent,False,False,no
52,single,high,white-collar,mid,telephone,thu,3,2,0,nonexistent,False,False,no
38,married,low,blue-collar,mid,cellular,fri,1,2,2,failure,True,False,no
60,married,mid,white-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
26,single,low,white-collar,mid,cellular,thu,11,1,0,nonexistent,False,False,yes
46,married,high,blue-collar,mid,cellular,fri,1,3,0,nonexistent,False,False,no
58,married,high,white-collar,high,cellular,wed,2,1,0,nonexistent,False,False,no
41,married,high,white-collar,high,cellular,fri,2,7,0,nonexistent,False,False,no
31,single,high,white-collar,high,cellular,thu,5,1,0,nonexistent,False,False,no
34,married,mid,blue-collar,mid,cellular,thu,0,3,0,nonexistent,False,False,no
72,married,mid,out-of-workforce,low,cellular,wed,0,1,1,failure,True,False,no
25,single,high,out-of-workforce,low,cellular,fri,1,1,0,nonexistent,False,False,no
45,married,high,white-collar,high,telephone,mon,6,2,0,nonexistent,False,False,no
50,married,mid,blue-collar,mid,cellular,thu,3,2,0,nonexistent,False,False,no
51,married,low,blue-collar,mid,telephone,fri,0,3,0,nonexistent,False,False,no
57,married,mid,white-collar,mid,cellular,mon,3,2,0,nonexistent,False,False,no
40,married,mid,blue-collar,mid,cellular,mon,2,3,0,nonexistent,False,False,no
25,single,high,blue-collar,mid,cellular,fri,2,1,0,nonexistent,False,False,no
35,single,high,blue-collar,mid,cellular,tue,7,3,0,nonexistent,False,False,yes
39,married,mid,white-collar,high,telephone,fri,1,8,0,nonexistent,False,False,no
32,married,low,blue-collar,mid,telephone,thu,1,1,0,nonexistent,False,False,no
38,married,mid,blue-collar,mid,cellular,fri,1,2,0,nonexistent,False,False,no
35,single,high,white-collar,high,cellular,wed,3,1,2,failure,True,False,no
45,married,low,blue-collar,mid,telephone,fri,2,5,0,nonexistent,False,False,no
39,married,low,blue-collar,mid,cellular,mon,21,2,0,nonexistent,False,False,yes
48,married,low,blue-collar,mid,telephone,wed,1,5,0,nonexistent,False,False,no
52,married,high,white-collar,mid,cellular,wed,4,2,0,nonexistent,False,False,yes
32,single,mid,blue-collar,mid,cellular,wed,6,1,0,nonexistent,False,False,no
59,married,mid,blue-collar,mid,telephone,tue,0,1,0,nonexistent,False,False,no
48,married,low,white-collar,high,telephone,thu,6,1,0,nonexistent,False,False,no
31,single,mid,blue-collar,mid,cellular,wed,1,2,0,nonexistent,False,False,no
31,married,low,white-collar,mid,cellular,wed,3,2,0,nonexistent,False,False,no
44,married,low,blue-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
40,married,low,blue-collar,mid,cellular,mon,2,2,0,nonexistent,False,False,no
33,married,high,white-collar,mid,cellular,wed,2,1,1,failure,True,False,no
40,single,high,white-collar,mid,telephone,wed,2,4,0,nonexistent,False,False,no
57,married,low,blue-collar,mid,telephone,thu,8,1,0,nonexistent,False,False,no
44,married,mid,blue-collar,mid,cellular,mon,3,4,0,nonexistent,False,False,no
33,married,mid,blue-collar,mid,cellular,tue,2,2,0,nonexistent,False,False,no
58,single,low,blue-collar,mid,cellular,tue,5,2,1,failure,True,False,no
38,married,mid,blue-collar,mid,telephone,tue,7,3,0,nonexistent,False,False,no
32,divorced,mid,blue-collar,mid,cellular,thu,13,3,0,nonexistent,False,False,no
23,single,mid,out-of-workforce,low,cellular,thu,7,2,2,success,True,True,yes
47,married,mid,blue-collar,mid,telephone,wed,3,6,0,nonexistent,False,False,no
47,married,mid,blue-collar,mid,cellular,mon,4,1,0,nonexistent,False,False,no
55,married,high,white-collar,high,cellular,thu,22,7,0,nonexistent,False,False,yes
42,married,mid,blue-collar,mid,telephone,wed,3,2,0,nonexistent,False,False,no
45,single,low,white-collar,mid,telephone,fri,3,2,0,nonexistent,False,False,no
34,married,mid,blue-collar,mid,cellular,thu,8,1,0,nonexistent,False,False,no
29,single,mid,blue-collar,mid,telephone,tue,6,1,0,nonexistent,False,False,yes
24,single,high,out-of-workforce,low,telephone,tue,2,2,0,nonexistent,False,False,no
34,single,mid,white-collar,mid,cellular,tue,38,2,0,nonexistent,False,False,yes
48,married,mid,white-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
25,single,mid,blue-collar,mid,cellular,fri,20,3,0,nonexistent,False,False,no
55,married,low,out-of-workforce,low,telephone,fri,2,2,0,nonexistent,False,False,no
44,married,low,out-of-workforce,low,cellular,wed,3,2,0,nonexistent,False,False,no
27,married,mid,white-collar,high,cellular,tue,14,1,0,nonexistent,False,False,yes
30,single,mid,blue-collar,mid,cellular,fri,4,2,0,nonexistent,False,False,no
55,married,high,white-collar,high,cellular,wed,1,2,0,nonexistent,False,False,no
35,married,high,blue-collar,mid,telephone,wed,1,1,0,nonexistent,False,False,no
59,divorced,low,out-of-workforce,low,cellular,fri,5,2,0,nonexistent,False,False,no
33,divorced,mid,out-of-workforce,low,telephone,tue,6,1,0,nonexistent,False,False,no
27,married,low,blue-collar,mid,cellular,thu,1,2,0,nonexistent,False,False,no
42,single,high,out-of-workforce,low,telephone,tue,6,1,0,nonexistent,False,False,no
28,single,mid,blue-collar,mid,telephone,wed,2,1,0,nonexistent,False,False,no
46,divorced,low,blue-collar,mid,cellular,wed,4,1,0,nonexistent,False,False,no
36,single,high,white-collar,mid,telephone,fri,1,7,0,nonexistent,False,False,no
46,married,high,white-collar,high,cellular,mon,1,3,0,nonexistent,False,False,no
29,single,high,white-collar,mid,cellular,tue,1,1,2,failure,True,False,no
29,single,high,blue-collar,mid,telephone,mon,2,1,0,nonexistent,False,False,no
46,married,mid,white-collar,mid,cellular,tue,4,1,0,nonexistent,False,False,yes
51,divorced,low,white-collar,mid,telephone,mon,2,1,0,nonexistent,False,False,no
40,married,mid,blue-collar,mid,telephone,tue,0,1,0,nonexistent,False,False,no
29,single,mid,blue-collar,mid,cellular,mon,12,3,0,nonexistent,False,False,yes
42,married,high,white-collar,mid,cellular,tue,10,1,1,success,True,True,yes
48,married,mid,blue-collar,mid,telephone,mon,6,3,0,nonexistent,False,False,no
50,married,low,blue-collar,mid,telephone,tue,1,3,0,nonexistent,False,False,no
37,married,mid,white-collar,mid,cellular,thu,10,1,0,nonexistent,False,False,yes
34,married,mid,blue-collar,mid,cellular,mon,1,5,0,nonexistent,False,False,no
59,divorced,high,out-of-workforce,low,cellular,tue,1,2,0,nonexistent,False,False,no
34,married,low,white-collar,mid,telephone,tue,3,1,0,nonexistent,False,False,no
31,divorced,mid,blue-collar,mid,cellular,fri,1,3,0,nonexistent,False,False,no
34,married,high,blue-collar,mid,cellular,tue,2,1,4,success,True,True,no
69,married,high,blue-collar,mid,cellular,tue,2,2,1,success,True,True,no
47,married,mid,blue-collar,mid,cellular,fri,3,3,1,failure,True,False,no
53,married,mid,blue-collar,mid,cellular,fri,2,3,0,nonexistent,False,False,no
33,married,high,white-collar,mid,cellular,fri,8,1,1,success,True,True,yes
43,married,low,blue-collar,mid,cellular,mon,1,1,1,failure,True,False,no
39,married,low,blue-collar,mid,telephone,fri,4,1,0,nonexistent,False,False,yes
45,married,low,blue-collar,mid,cellular,wed,3,1,0,nonexistent,False,False,no
35,single,high,blue-collar,mid,cellular,thu,3,5,0,nonexistent,False,False,no
33,married,low,blue-collar,mid,telephone,fri,1,7,0,nonexistent,False,False,no
32,married,low,blue-collar,mid,cellular,wed,1,1,0,nonexistent,False,False,no
58,married,mid,blue-collar,mid,cellular,tue,3,1,0,nonexistent,False,False,no
40,single,mid,blue-collar,mid,cellular,mon,9,1,0,nonexistent,False,False,no
34,single,high,blue-collar,mid,cellular,mon,3,1,0,nonexistent,False,False,no
39,married,low,white-collar,mid,telephone,wed,5,3,0,nonexistent,False,False,no
35,single,high,white-collar,mid,cellular,fri,17,2,0,nonexistent,False,False,yes
29,married,low,blue-collar,mid,cellular,thu,0,5,0,nonexistent,False,False,no
43,single,high,white-collar,mid,telephone,tue,1,1,0,nonexistent,False,False,no
31,divorced,mid,white-collar,mid,cellular,fri,3,2,0,nonexistent,False,False,no
22,single,mid,out-of-workforce,low,cellular,mon,2,3,0,nonexistent,False,False,yes
39,married,mid,blue-collar,mid,cellular,tue,8,4,1,success,True,True,no
46,married,mid,white-collar,mid,cellular,thu,13,1,0,nonexistent,False,False,no
59,married,mid,out-of-workforce,low,cellular,thu,1,1,0,nonexistent,False,False,no
29,single,high,white-collar,high,cellular,fri,3,7,0,nonexistent,False,False,no
66,married,low,out-of-workforce,low,cellular,wed,5,2,0,nonexistent,False,False,yes
39,single,low,blue-collar,mid,telephone,fri,2,2,0,nonexistent,False,False,no
45,married,low,blue-collar,mid,telephone,wed,7,3,0,nonexistent,False,False,no
32,married,high,white-collar,mid,cellular,tue,6,1,0,nonexistent,False,False,no
30,married,mid,blue-collar,mid,telephone,mon,3,1,0,nonexistent,False,False,no
37,married,low,blue-collar,mid,telephone,wed,3,1,0,nonexistent,False,False,no
39,divorced,mid,blue-collar,mid,telephone,wed,4,3,0,nonexistent,False,False,no
32,single,high,white-collar,high,cellular,thu,2,3,0,nonexistent,False,False,no
36,married,high,white-collar,mid,telephone,mon,9,1,0,nonexistent,False,False,no
49,single,mid,blue-collar,mid,cellular,mon,7,3,0,nonexistent,False,False,no
45,married,mid,blue-collar,mid,telephone,mon,13,1,0,nonexistent,False,False,no
57,married,mid,blue-collar,mid,cellular,wed,6,2,0,nonexistent,False,False,no
48,married,high,white-collar,mid,cellular,tue,2,1,1,failure,True,False,no
58,married,high,out-of-workforce,low,cellular,tue,2,2,0,nonexistent,False,False,no
43,married,mid,white-collar,mid,cellular,mon,3,1,0,nonexistent,False,False,no
34,married,high,white-collar,mid,telephone,mon,1,3,0,nonexistent,False,False,no
56,married,high,white-collar,mid,cellular,fri,6,1,0,nonexistent,False,False,no
37,married,high,white-collar,mid,cellular,mon,7,2,0,nonexistent,False,False,yes
33,married,mid,blue-collar,mid,telephone,fri,1,3,0,nonexistent,False,False,no
24,single,mid,blue-collar,mid,cellular,mon,3,3,0,nonexistent,False,False,no
45,married,low,blue-collar,mid,telephone,mon,2,8,0,nonexistent,False,False,no
27,single,high,out-of-workforce,low,cellular,thu,9,2,0,nonexistent,False,False,yes
31,married,mid,blue-collar,mid,telephone,tue,5,3,0,nonexistent,False,False,no
35,married,high,white-collar,mid,telephone,fri,8,2,0,nonexistent,False,False,no
37,single,mid,blue-collar,mid,telephone,thu,11,5,0,nonexistent,False,False,no
64,married,low,out-of-workforce,low,cellular,wed,2,1,2,success,True,True,yes
55,married,low,white-collar,high,cellular,tue,2,7,0,nonexistent,False,False,no
37,married,high,white-collar,high,cellular,thu,6,3,3,success,True,True,yes
47,married,low,blue-collar,mid,cellular,mon,1,2,0,nonexistent,False,False,no
49,married,low,blue-collar,mid,cellular,wed,2,4,0,nonexistent,False,False,no
43,divorced,low,white-collar,mid,cellular,mon,1,1,1,failure,True,False,no
28,single,mid,blue-collar,mid,cellular,mon,6,1,0,nonexistent,False,False,no
44,married,low,white-collar,mid,cellular,wed,4,4,1,failure,True,False,no
49,divorced,mid,blue-collar,mid,telephone,mon,7,1,0,nonexistent,False,False,no
53,divorced,high,white-collar,mid,telephone,wed,2,1,0,nonexistent,False,False,no
33,married,mid,blue-collar,mid,telephone,mon,10,2,0,nonexistent,False,False,no
37,married,high,out-of-workforce,low,telephone,thu,1,3,0,nonexistent,False,False,no
34,married,mid,blue-collar,mid,telephone,wed,9,1,0,nonexistent,False,False,no
48,married,high,white-collar,mid,cellular,fri,1,7,1,failure,True,False,no
42,married,high,blue-collar,mid,telephone,fri,5,1,0,nonexistent,False,False,no
33,married,mid,white-collar,mid,cellular,wed,2,4,1,failure,True,False,no
42,single,high,white-collar,mid,telephone,fri,0,15,0,nonexistent,False,False,no
39,married,high,white-collar,high,cellular,mon,1,1,0,nonexistent,False,False,no
26,single,low,blue-collar,mid,telephone,wed,12,2,0,nonexistent,False,False,no
52,divorced,high,white-collar,mid,cellular,tue,3,1,0,nonexistent,False,False,no
44,divorced,high,white-collar,high,cellular,tue,3,1,0,nonexistent,False,False,no
51,married,mid,blue-collar,mid,cellular,thu,0,5,0,nonexistent,False,False,no
45,married,high,white-collar,high,cellular,thu,2,2,2,success,True,True,yes
28,single,low,blue-collar,mid,cellular,fri,23,9,0,nonexistent,False,False,yes
47,married,mid,blue-collar,mid,cellular,fri,1,3,0,nonexistent,False,False,no
49,married,low,blue-collar,mid,telephone,mon,4,2,0,nonexistent,False,False,no
53,married,low,blue-collar,mid,telephone,tue,11,8,0,nonexistent,False,False,no
38,single,high,blue-collar,mid,telephone,tue,7,12,0,nonexistent,False,False,no
41,single,mid,white-collar,mid,cellular,mon,5,3,1,failure,True,False,no
42,married,low,blue-collar,mid,cellular,wed,3,1,0,nonexistent,False,False,no
40,divorced,mid,white-collar,mid,cellular,fri,3,1,0,nonexistent,False,False,no
30,single,mid,white-collar,mid,cellular,fri,2,1,0,nonexistent,False,False,no
47,married,high,white-collar,mid,cellular,mon,2,3,0,nonexistent,False,False,no
38,single,high,white-collar,mid,cellular,mon,0,1,0,nonexistent,False,False,no
38,divorced,high,white-collar,mid,cellular,fri,2,4,0,nonexistent,False,False,no
40,married,high,white-collar,high,cellular,mon,4,1,0,nonexistent,False,False,no
44,married,mid,white-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
39,married,mid,blue-collar,mid,cellular,thu,4,9,0,nonexistent,False,False,no
42,married,low,blue-collar,mid,telephone,mon,9,1,0,nonexistent,False,False,no
38,married,mid,blue-collar,mid,cellular,wed,8,2,0,nonexistent,False,False,no
25,married,low,blue-collar,mid,cellular,tue,1,4,0,nonexistent,False,False,no
33,married,mid,white-collar,mid,telephone,thu,0,1,0,nonexistent,False,False,no
31,married,mid,white-collar,mid,telephone,wed,8,3,0,nonexistent,False,False,no
49,married,mid,white-collar,high,telephone,wed,0,12,0,nonexistent,False,False,no
59,divorced,high,white-collar,mid,cellular,fri,15,1,0,nonexistent,False,False,yes
56,married,low,blue-collar,mid,telephone,thu,4,3,0,nonexistent,False,False,no
39,divorced,high,blue-collar,mid,telephone,thu,2,2,0,nonexistent,False,False,no
30,divorced,low,blue-collar,mid,telephone,tue,5,1,0,nonexistent,False,False,no
